sujeto,movimiento,tipo_artefacto_sospechado,eventos,canales_afectados,bandas_afectadas,z_max_abs,salto_max_abs
212260567,right,posible_ocular_frontal_banda_baja,2,1,1,11.6356,31.3519
212260569,all,salto_brusco_estadistico,1008,14,5,4.4988,164.8675
212260569,all,posible_muscular_beta_gamma,629,6,3,93.1566,292.4153
212260569,all,posible_no_fisiologico_salto_o_pico,536,12,5,54.1097,168.4535
212260569,all,outlier_estadistico_extremo,328,12,5,28.0398,4.4928
212260569,all,posible_ocular_frontal_banda_baja,231,6,2,42.3974,110.804
212260569,left,salto_brusco_estadistico,419,14,5,4.4675,88.1038
212260569,left,posible_muscular_beta_gamma,231,6,3,27.5509,93.6046
212260569,left,outlier_estadistico_extremo,194,10,5,24.9661,4.4398
212260569,left,posible_no_fisiologico_salto_o_pico,194,11,5,24.6726,82.8099
212260569,left,posible_ocular_frontal_banda_baja,131,6,2,25.3956,36.2193
212260569,pull,posible_no_fisiologico_salto_o_pico,75,11,5,123.9313,184.3996
212260569,pull,posible_muscular_beta_gamma,70,6,3,103.3934,210.7238
212260569,pull,salto_brusco_estadistico,65,14,5,4.4325,256.0815
212260569,pull,outlier_estadistico_extremo,24,11,5,23.7676,4.4164
212260569,pull,posible_ocular_frontal_banda_baja,24,4,2,24.6027,48.8042
212260569,push,salto_brusco_estadistico,479,14,5,4.4878,64.752
212260569,push,posible_muscular_beta_gamma,329,6,3,119.2012,360.6195
212260569,push,posible_no_fisiologico_salto_o_pico,248,11,5,72.0834,254.3172
212260569,push,outlier_estadistico_extremo,142,11,5,17.334,4.4852
212260569,push,posible_ocular_frontal_banda_baja,89,6,2,20.073,51.4798
212260666,all,salto_brusco_estadistico,866,14,5,4.4967,777.0915
212260666,all,posible_muscular_beta_gamma,828,6,3,270.0424,982.5878
212260666,all,posible_no_fisiologico_salto_o_pico,548,12,5,2951.0286,11116.067
212260666,all,outlier_estadistico_extremo,290,12,5,92.2701,4.4986
212260666,all,posible_ocular_frontal_banda_baja,191,6,2,288.6043,817.7339
212260666,left,salto_brusco_estadistico,30,13,5,2.7929,143.3031
212260666,left,posible_muscular_beta_gamma,17,5,3,9.8701,42.7434
