sujeto,movimiento,variante,filas_entrada,filas_eliminadas,filas_salida,retencion_%,clases_detectadas,min_clase,modelable,motivo_no_modelable
212260668,all,sinArtefactosEstricto,199,91,108,54.3,pull:61 | push:46 | right:1,1,False,min_clase < 10
212260668,left,sinArtefactosConservador,6,0,6,100.0,left:6,6,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
212260668,left,sinArtefactosEstricto,6,0,6,100.0,left:6,6,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
212260668,pull,sinArtefactosConservador,66,0,66,100.0,pull:66,66,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260668,pull,sinArtefactosEstricto,66,0,66,100.0,pull:66,66,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260668,push,sinArtefactosConservador,70,0,70,100.0,push:70,70,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260668,push,sinArtefactosEstricto,70,0,70,100.0,push:70,70,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260668,right,sinArtefactosConservador,63,0,63,100.0,right:63,63,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260668,right,sinArtefactosEstricto,63,0,63,100.0,right:63,63,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,all,sinArtefactosConservador,94,39,55,58.5,left:2 | pull:40 | push:7 | right:6,2,False,min_clase < 10
212260672,all,sinArtefactosEstricto,94,61,33,35.1,left:1 | pull:27 | push:4 | right:1,1,False,min_clase < 10; retencion_% < 50
212260672,left,sinArtefactosConservador,15,0,15,100.0,left:15,15,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,left,sinArtefactosEstricto,15,0,15,100.0,left:15,15,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,pull,sinArtefactosConservador,53,0,53,100.0,pull:53,53,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,pull,sinArtefactosEstricto,53,0,53,100.0,pull:53,53,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,push,sinArtefactosConservador,11,0,11,100.0,push:11,11,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,push,sinArtefactosEstricto,11,0,11,100.0,push:11,11,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,right,sinArtefactosConservador,29,0,29,100.0,right:29,29,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260672,right,sinArtefactosEstricto,29,0,29,100.0,right:29,29,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,all,sinArtefactosConservador,171,55,116,67.8,left:1 | pull:17 | push:18 | right:80,1,False,min_clase < 10
222260671,all,sinArtefactosEstricto,171,114,57,33.3,pull:9 | push:11 | right:37,9,False,min_clase < 10; retencion_% < 50
222260671,left,sinArtefactosConservador,28,0,28,100.0,left:28,28,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,left,sinArtefactosEstricto,28,0,28,100.0,left:28,28,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,pull,sinArtefactosConservador,34,0,34,100.0,pull:34,34,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,pull,sinArtefactosEstricto,34,0,34,100.0,pull:34,34,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,push,sinArtefactosConservador,21,0,21,100.0,push:21,21,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,push,sinArtefactosEstricto,21,0,21,100.0,push:21,21,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,right,sinArtefactosConservador,101,0,101,100.0,right:101,101,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
222260671,right,sinArtefactosEstricto,101,0,101,100.0,right:101,101,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,all,sinArtefactosConservador,1292,640,652,50.5,left:191 | pull:301 | push:37 | right:123,37,True,
22260552,all,sinArtefactosEstricto,1292,951,341,26.4,left:128 | pull:192 | push:19 | right:2,2,False,min_clase < 10; retencion_% < 50
22260552,left,sinArtefactosConservador,201,0,201,100.0,left:201,201,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,left,sinArtefactosEstricto,201,0,201,100.0,left:201,201,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,pull,sinArtefactosConservador,522,0,522,100.0,pull:522,522,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,pull,sinArtefactosEstricto,522,0,522,100.0,pull:522,522,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,push,sinArtefactosConservador,72,0,72,100.0,push:72,72,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,push,sinArtefactosEstricto,72,0,72,100.0,push:72,72,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,right,sinArtefactosConservador,440,0,440,100.0,right:440,440,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
22260552,right,sinArtefactosEstricto,440,0,440,100.0,right:440,440,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,all,sinArtefactosConservador,902,138,764,84.7,left:156 | pull:426 | push:7 | right:175,7,False,min_clase < 10
231260558,all,sinArtefactosEstricto,902,320,582,64.5,left:97 | pull:344 | push:1 | right:140,1,False,min_clase < 10
231260558,left,sinArtefactosConservador,221,0,221,100.0,left:221,221,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,left,sinArtefactosEstricto,221,0,221,100.0,left:221,221,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,pull,sinArtefactosConservador,401,0,401,100.0,pull:401,401,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,pull,sinArtefactosEstricto,401,0,401,100.0,pull:401,401,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,push,sinArtefactosConservador,143,0,143,100.0,push:143,143,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,push,sinArtefactosEstricto,143,0,143,100.0,push:143,143,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,right,sinArtefactosConservador,152,0,152,100.0,right:152,152,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
231260558,right,sinArtefactosEstricto,152,0,152,100.0,right:152,152,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,all,sinArtefactosConservador,538,125,413,76.8,left:183 | pull:39 | push:157 | right:34,34,True,
252260554,all,sinArtefactosEstricto,538,300,238,44.2,left:121 | pull:19 | push:76 | right:22,19,False,retencion_% < 50
252260554,left,sinArtefactosConservador,225,0,225,100.0,left:225,225,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,left,sinArtefactosEstricto,225,0,225,100.0,left:225,225,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,pull,sinArtefactosConservador,40,0,40,100.0,pull:40,40,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,pull,sinArtefactosEstricto,40,0,40,100.0,pull:40,40,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,push,sinArtefactosConservador,213,0,213,100.0,push:213,213,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,push,sinArtefactosEstricto,213,0,213,100.0,push:213,213,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,right,sinArtefactosConservador,61,0,61,100.0,right:61,61,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260554,right,sinArtefactosEstricto,61,0,61,100.0,right:61,61,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,all,sinArtefactosConservador,839,164,675,80.5,left:238 | pull:216 | push:123 | right:98,98,True,
252260556,all,sinArtefactosEstricto,839,387,452,53.9,left:149 | pull:149 | push:91 | right:63,63,True,
252260556,left,sinArtefactosConservador,323,0,323,100.0,left:323,323,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,left,sinArtefactosEstricto,323,0,323,100.0,left:323,323,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,pull,sinArtefactosConservador,255,0,255,100.0,pull:255,255,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,pull,sinArtefactosEstricto,255,0,255,100.0,pull:255,255,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,push,sinArtefactosConservador,119,0,119,100.0,push:119,119,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,push,sinArtefactosEstricto,119,0,119,100.0,push:119,119,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,right,sinArtefactosConservador,91,0,91,100.0,right:91,91,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260556,right,sinArtefactosEstricto,91,0,91,100.0,right:91,91,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260670,all,sinArtefactosConservador,131,48,83,63.4,left:3 | push:38 | right:42,3,False,min_clase < 10
252260670,all,sinArtefactosEstricto,131,88,43,32.8,left:1 | push:28 | right:14,1,False,min_clase < 10; retencion_% < 50
252260670,left,sinArtefactosConservador,9,0,9,100.0,left:9,9,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
252260670,left,sinArtefactosEstricto,9,0,9,100.0,left:9,9,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
252260670,pull,sinArtefactosConservador,18,0,18,100.0,pull:18,18,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260670,pull,sinArtefactosEstricto,18,0,18,100.0,pull:18,18,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260670,push,sinArtefactosConservador,58,0,58,100.0,push:58,58,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260670,push,sinArtefactosEstricto,58,0,58,100.0,push:58,58,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260670,right,sinArtefactosConservador,70,0,70,100.0,right:70,70,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
252260670,right,sinArtefactosEstricto,70,0,70,100.0,right:70,70,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,all,sinArtefactosConservador,885,260,625,70.6,left:63 | pull:33 | push:188 | right:341,33,True,
cano,all,sinArtefactosEstricto,885,493,392,44.3,left:49 | pull:15 | push:155 | right:173,15,False,retencion_% < 50
cano,left,sinArtefactosConservador,78,0,78,100.0,left:78,78,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,left,sinArtefactosEstricto,78,0,78,100.0,left:78,78,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,pull,sinArtefactosConservador,30,0,30,100.0,pull:30,30,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,pull,sinArtefactosEstricto,30,0,30,100.0,pull:30,30,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,push,sinArtefactosConservador,159,0,159,100.0,push:159,159,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,push,sinArtefactosEstricto,159,0,159,100.0,push:159,159,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,right,sinArtefactosConservador,515,0,515,100.0,right:515,515,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
cano,right,sinArtefactosEstricto,515,0,515,100.0,right:515,515,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,all,sinArtefactosConservador,632,78,554,87.7,left:8 | pull:326 | push:190 | right:30,8,False,min_clase < 10
villanueva,all,sinArtefactosEstricto,632,272,360,57.0,left:5 | pull:183 | push:150 | right:22,5,False,min_clase < 10
villanueva,left,sinArtefactosConservador,17,0,17,100.0,left:17,17,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,left,sinArtefactosEstricto,17,0,17,100.0,left:17,17,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,pull,sinArtefactosConservador,363,0,363,100.0,pull:363,363,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,pull,sinArtefactosEstricto,363,0,363,100.0,pull:363,363,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,push,sinArtefactosConservador,211,0,211,100.0,push:211,211,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,push,sinArtefactosEstricto,211,0,211,100.0,push:211,211,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,right,sinArtefactosConservador,42,0,42,100.0,right:42,42,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
villanueva,right,sinArtefactosEstricto,42,0,42,100.0,right:42,42,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
