sujeto,archivo,tipo,filas,ruta
222260671,222260671_Left_matchResults.csv,Left_matchResults,31,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/222260671/222260671_Left_matchResults.csv
222260671,222260671_Right_matchResults.csv,Right_matchResults,152,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/222260671/222260671_Right_matchResults.csv
222260671,222260671_Push_matchResults.csv,Push_matchResults,23,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/222260671/222260671_Push_matchResults.csv
222260671,222260671_Pull_matchResults.csv,Pull_matchResults,42,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/222260671/222260671_Pull_matchResults.csv
22260552,22260552_all_Outliers.csv,all_Outliers,4390,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/22260552/22260552_all_Outliers.csv
22260552,22260552_Left_matchResults.csv,Left_matchResults,240,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/22260552/22260552_Left_matchResults.csv
22260552,22260552_Right_matchResults.csv,Right_matchResults,466,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/22260552/22260552_Right_matchResults.csv
22260552,22260552_Push_matchResults.csv,Push_matchResults,78,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/22260552/22260552_Push_matchResults.csv
22260552,22260552_Pull_matchResults.csv,Pull_matchResults,597,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/22260552/22260552_Pull_matchResults.csv
231260558,231260558_all_Outliers.csv,all_Outliers,4191,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/231260558/231260558_all_Outliers.csv
231260558,231260558_Left_matchResults.csv,Left_matchResults,294,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/231260558/231260558_Left_matchResults.csv
231260558,231260558_Right_matchResults.csv,Right_matchResults,223,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/231260558/231260558_Right_matchResults.csv
231260558,231260558_Push_matchResults.csv,Push_matchResults,189,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/231260558/231260558_Push_matchResults.csv
231260558,231260558_Pull_matchResults.csv,Pull_matchResults,531,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/231260558/231260558_Pull_matchResults.csv
252260554,252260554_all_Outliers.csv,all_Outliers,4451,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260554/252260554_all_Outliers.csv
252260554,252260554_Left_matchResults.csv,Left_matchResults,314,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260554/252260554_Left_matchResults.csv
252260554,252260554_Right_matchResults.csv,Right_matchResults,89,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260554/252260554_Right_matchResults.csv
252260554,252260554_Push_matchResults.csv,Push_matchResults,310,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260554/252260554_Push_matchResults.csv
252260554,252260554_Pull_matchResults.csv,Pull_matchResults,58,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260554/252260554_Pull_matchResults.csv
252260556,252260556_all_Outliers.csv,all_Outliers,4632,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260556/252260556_all_Outliers.csv
