sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,clase,recall,precision,soporte,minoritaria
211260561,all,noOutliers,smote_tomek,SMO_SVM,push,0.7986,0.7278,144,False
211260561,all,noOutliers,smote_tomek,SMO_SVM,right,0.4928,0.5763,69,False
211260561,all,noOutliers,smote_tomek,RandomForest,left,0.8707,0.7537,232,False
211260561,all,noOutliers,smote_tomek,RandomForest,pull,0.1379,0.381,58,True
211260561,all,noOutliers,smote_tomek,RandomForest,push,0.8333,0.6452,144,False
211260561,all,noOutliers,smote_tomek,RandomForest,right,0.1739,0.4286,69,False
211260561,all,noOutliers,smote_tomek,MLP,left,0.875,0.8602,232,False
211260561,all,noOutliers,smote_tomek,MLP,pull,0.4655,0.5192,58,True
211260561,all,noOutliers,smote_tomek,MLP,push,0.8264,0.7677,144,False
211260561,all,noOutliers,smote_tomek,MLP,right,0.6087,0.7,69,False
211260561,all,noOutliers,smote_tomek,IBk_kNN,left,0.6853,0.8785,232,False
211260561,all,noOutliers,smote_tomek,IBk_kNN,pull,0.4655,0.4355,58,True
211260561,all,noOutliers,smote_tomek,IBk_kNN,push,0.7708,0.681,144,False
211260561,all,noOutliers,smote_tomek,IBk_kNN,right,0.5797,0.4124,69,False
211260561,all,noOutliers,smote_tomek,RBFNetwork_aprox,left,0.9009,0.7656,232,False
211260561,all,noOutliers,smote_tomek,RBFNetwork_aprox,pull,0.2586,0.5556,58,True
211260561,all,noOutliers,smote_tomek,RBFNetwork_aprox,push,0.8056,0.7389,144,False
211260561,all,noOutliers,smote_tomek,RBFNetwork_aprox,right,0.4493,0.6739,69,False
211260561,all,noOutliers,random_undersampling_controlado,SMO_SVM,left,0.8103,0.8103,232,False
211260561,all,noOutliers,random_undersampling_controlado,SMO_SVM,pull,0.4828,0.5,58,True
211260561,all,noOutliers,random_undersampling_controlado,SMO_SVM,push,0.7431,0.7431,144,False
211260561,all,noOutliers,random_undersampling_controlado,SMO_SVM,right,0.5072,0.493,69,False
211260561,all,noOutliers,random_undersampling_controlado,RandomForest,left,0.7759,0.7531,232,False
211260561,all,noOutliers,random_undersampling_controlado,RandomForest,pull,0.1552,0.2812,58,True
211260561,all,noOutliers,random_undersampling_controlado,RandomForest,push,0.75,0.5934,144,False
211260561,all,noOutliers,random_undersampling_controlado,RandomForest,right,0.2464,0.34,69,False
211260561,all,noOutliers,random_undersampling_controlado,MLP,left,0.819,0.8676,232,False
211260561,all,noOutliers,random_undersampling_controlado,MLP,pull,0.4655,0.5294,58,True
211260561,all,noOutliers,random_undersampling_controlado,MLP,push,0.8472,0.7625,144,False
211260561,all,noOutliers,random_undersampling_controlado,MLP,right,0.5942,0.5616,69,False
211260561,all,noOutliers,random_undersampling_controlado,IBk_kNN,left,0.7414,0.8,232,False
211260561,all,noOutliers,random_undersampling_controlado,IBk_kNN,pull,0.4828,0.5385,58,True
211260561,all,noOutliers,random_undersampling_controlado,IBk_kNN,push,0.7569,0.7032,144,False
211260561,all,noOutliers,random_undersampling_controlado,IBk_kNN,right,0.4783,0.4074,69,False
211260561,all,noOutliers,random_undersampling_controlado,RBFNetwork_aprox,left,0.8448,0.7341,232,False
211260561,all,noOutliers,random_undersampling_controlado,RBFNetwork_aprox,pull,0.2069,0.4444,58,True
211260561,all,noOutliers,random_undersampling_controlado,RBFNetwork_aprox,push,0.7292,0.6562,144,False
