sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,accuracy,balanced_accuracy,kappa,macro_f1,weighted_f1,recall_left,recall_pull,recall_push,recall_right,precision_left,precision_pull,precision_push,precision_right,auc,min_clase,problema_muestra,exito,observacion,cv,folds
211260561,all,noOutliers,random_undersampling_controlado,SMO_SVM,71.17,63.59,0.5717,0.6362,0.7117,0.8103,0.4828,0.7431,0.5072,0.8103,0.5,0.7431,0.493,0.8659,58,False,no,Recall crítico bajo en: pull,bloques,4.0
211260561,all,noOutliers,random_undersampling_controlado,RandomForest,62.43,48.19,0.4275,0.4782,0.6045,0.7759,0.1552,0.75,0.2464,0.7531,0.2812,0.5934,0.34,0.8032,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,random_undersampling_controlado,MLP,75.55,68.15,0.6385,0.6795,0.7547,0.819,0.4655,0.8472,0.5942,0.8676,0.5294,0.7625,0.5616,0.9061,58,False,no,Recall crítico bajo en: pull,bloques,4.0
211260561,all,noOutliers,random_undersampling_controlado,IBk_kNN,67.99,61.48,0.5297,0.6119,0.6827,0.7414,0.4828,0.7569,0.4783,0.8,0.5385,0.7032,0.4074,0.751,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,random_undersampling_controlado,RBFNetwork_aprox,67.4,53.94,0.4942,0.5498,0.6531,0.8448,0.2069,0.7292,0.3768,0.7341,0.4444,0.6562,0.5306,0.8602,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,sin_balanceo,SMO_SVM,62.03,57.53,0.4601,0.5719,0.6229,0.7233,0.4681,0.6172,0.4928,0.6765,0.3793,0.7315,0.5075,0.8112,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,sin_balanceo,RandomForest,57.07,44.02,0.3574,0.4296,0.5343,0.7862,0.1489,0.6953,0.1304,0.6158,0.2593,0.6224,0.3,0.7828,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,sin_balanceo,MLP,66.75,58.35,0.5175,0.5893,0.6567,0.7296,0.3191,0.8359,0.4493,0.7342,0.4839,0.6903,0.5254,0.857,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,sin_balanceo,IBk_kNN,64.02,56.79,0.4746,0.5788,0.6315,0.7987,0.4043,0.6484,0.4203,0.6828,0.5278,0.6587,0.5273,0.7185,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,sin_balanceo,RBFNetwork_aprox,65.01,50.98,0.4743,0.5054,0.6119,0.8616,0.1489,0.7969,0.2319,0.6884,0.3182,0.6623,0.5714,0.8327,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_oversampling,SMO_SVM,62.53,58.05,0.4667,0.5769,0.6273,0.7296,0.4894,0.625,0.4783,0.6824,0.3898,0.7273,0.5156,0.8074,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_oversampling,RandomForest,64.52,51.79,0.472,0.5175,0.6155,0.8302,0.1915,0.7891,0.2609,0.7097,0.36,0.6433,0.5143,0.806,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_oversampling,MLP,67.74,61.09,0.5361,0.6147,0.6715,0.7107,0.4043,0.8359,0.4928,0.7584,0.5,0.6948,0.5484,0.8658,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_oversampling,IBk_kNN,64.52,57.14,0.482,0.5823,0.6366,0.805,0.383,0.6484,0.4493,0.6882,0.5143,0.664,0.5439,0.7212,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_oversampling,RBFNetwork_aprox,67.25,56.25,0.516,0.5722,0.6542,0.8365,0.2553,0.7812,0.3768,0.7151,0.3636,0.6803,0.7027,0.8343,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,class_weight_balanced,SMO_SVM,62.03,57.53,0.4601,0.5719,0.6229,0.7233,0.4681,0.6172,0.4928,0.6765,0.3793,0.7315,0.5075,0.8112,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,class_weight_balanced,RandomForest,58.56,44.87,0.3772,0.4374,0.5461,0.8113,0.1277,0.7109,0.1449,0.6232,0.25,0.6364,0.3448,0.8005,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,class_weight_balanced,MLP,,,,,,,,,,,,,,,47,False,NO_APLICA,class_weight no soportado por este modelo,,
211260561,all,sinArtefactosConservador,class_weight_balanced,IBk_kNN,,,,,,,,,,,,,,,47,False,NO_APLICA,class_weight no soportado por este modelo,,
211260561,all,sinArtefactosConservador,class_weight_balanced,RBFNetwork_aprox,66.25,56.04,0.5049,0.5681,0.648,0.8239,0.2766,0.75,0.3913,0.7238,0.3714,0.6761,0.6,0.8351,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote,SMO_SVM,63.28,58.43,0.4761,0.5827,0.6342,0.7358,0.4681,0.6406,0.4928,0.6842,0.3929,0.7321,0.5312,0.8099,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote,RandomForest,58.81,47.66,0.3921,0.4762,0.5667,0.7987,0.234,0.6562,0.2174,0.6447,0.3056,0.6512,0.3659,0.7967,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote,MLP,68.24,61.41,0.5417,0.6201,0.6754,0.7233,0.4255,0.8438,0.4638,0.7468,0.5556,0.7105,0.5246,0.8597,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote,IBk_kNN,64.02,59.54,0.4921,0.5899,0.6445,0.7044,0.4681,0.6875,0.5217,0.7568,0.4231,0.704,0.4615,0.7362,47,False,no,Recall crítico bajo en: pull,bloques,4.0
211260561,all,sinArtefactosConservador,smote,RBFNetwork_aprox,66.5,55.0,0.5005,0.5585,0.6396,0.8365,0.2766,0.7969,0.2899,0.6751,0.4815,0.7034,0.5882,0.8239,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote_tomek,SMO_SVM,63.28,58.43,0.4761,0.5827,0.6342,0.7358,0.4681,0.6406,0.4928,0.6842,0.3929,0.7321,0.5312,0.8099,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote_tomek,RandomForest,58.81,47.66,0.3921,0.4762,0.5667,0.7987,0.234,0.6562,0.2174,0.6447,0.3056,0.6512,0.3659,0.7967,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote_tomek,MLP,68.24,61.41,0.5417,0.6201,0.6754,0.7233,0.4255,0.8438,0.4638,0.7468,0.5556,0.7105,0.5246,0.8597,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,smote_tomek,IBk_kNN,64.02,59.54,0.4921,0.5899,0.6445,0.7044,0.4681,0.6875,0.5217,0.7568,0.4231,0.704,0.4615,0.7362,47,False,no,Recall crítico bajo en: pull,bloques,4.0
